0x25bc710,funccall,dcgettext,1,7,0,0x25bc710_1,0x25b5050:0x25b5140:0x25b5960:0x25bc120:0x25b6130:0x25b5b90:0x25b5370,na
0x25bc710_1,funccall,bad_prog,0,1,0,na,0x25bc710,na
0x25bc760,funccall,read_filename,2,6,0,0x25bc7b0:0x25bc800,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25bc7b0,funccall,dcgettext,1,1,0,0x25bc7b0_1,0x25bc760,na
0x25bc7b0_1,funccall,bad_prog,0,1,0,na,0x25bc7b0,na
0x25bc800,funccall,xstrdup,1,1,0,0x25bc800_1,0x25bc760,na
0x25bc800_1,funccall,free_buffer,4,1,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0,0x25bc800,0x25b5000:0x25b5050
0x25bc850,funccall,get_openfile,4,6,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,0x25b5000:0x25b5050
0x25bc8a0,funccall,get_openfile,4,6,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,0x25b5000:0x25b5050
0x25bcad0,funccall,__uflow,1,6,0,0x25bcc10,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25bcc10,funccall,match_slash,2,7,0,0x25bcc60:0x25bccb0,0x25b5050:0x25b5140:0x25b5960:0x25bcad0:0x25b6130:0x25b5b90:0x25b5370,na
0x25bcc60,funccall,dcgettext,1,1,0,0x25bcc60_1,0x25bcc10,na
0x25bcc60_1,funccall,bad_prog,0,1,0,na,0x25bcc60,na
0x25bccb0,funccall,match_slash,3,1,0,0x25bcd00:0x25bcda0:0x25bce90,0x25bcc10,na
0x25bcd00,funccall,dcgettext,1,1,0,0x25bcd00_1,0x25bccb0,na
0x25bcd00_1,funccall,bad_prog,0,1,0,na,0x25bcd00,na
0x25bcda0,funccall,_obstack_newchunk,1,1,0,0x25bce90,0x25bccb0,na
0x25bce90,funccall,xmemdup,1,2,0,0x25bce90_1,0x25bcda0:0x25bccb0,na
0x25bce90_1,funccall,normalize_text,4,1,0,0x25bd890:0x25bdc00:0x25bdac0:0x25bd020,0x25bce90,na
0x25bd020,funccall,_obstack_newchunk,2,3,2,0x25bdc00:0x25bdac0,0x25bce90_1:0x25bd890:0x25bd020,0x25bd890:0x25bd020
0x25bd890,funccall,_obstack_newchunk,3,3,1,0x25bdc00:0x25bdac0:0x25bd020,0x25bce90_1:0x25bd890:0x25bd020,0x25bd890
0x25bdac0,funccall,_obstack_newchunk,1,3,0,0x25bdc00,0x25bce90_1:0x25bd890:0x25bd020,na
0x25bdc00,funccall,free_buffer,17,4,0,0x25bfb90:0x25bfb40:0x25bfa00:0x25bf7d0:0x25bf780:0x25bef10:0x25bf550:0x25bf500:0x25bf640:0x25bf190:0x25be9c0:0x25beab0:0x25bebf0:0x25bedd0:0x25bece0:0x25bee70:0x25bded0,0x25bce90_1:0x25bd890:0x25bdac0:0x25bd020,na
0x25bded0,funccall,__uflow,14,4,3,0x25bfb90:0x25bfb40:0x25bfa00:0x25bf7d0:0x25bf780:0x25bef10:0x25bf500:0x25bf640:0x25be9c0:0x25beab0:0x25bebf0:0x25bedd0:0x25bece0:0x25bee70,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,0x25bf550:0x25bf190:0x25bded0
0x25be9c0,funccall,dcgettext,1,4,0,0x25be9c0_1,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25be9c0_1,funccall,bad_prog,0,1,0,na,0x25be9c0,na
0x25beab0,funccall,dcgettext,1,4,0,0x25beab0_1,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25beab0_1,funccall,bad_prog,0,1,0,na,0x25beab0,na
0x25bebf0,funccall,dcgettext,1,4,0,0x25bebf0_1,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bebf0_1,funccall,bad_prog,0,1,0,na,0x25bebf0,na
0x25bece0,funccall,dcgettext,1,4,0,0x25bece0_1,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bece0_1,funccall,bad_prog,0,1,0,na,0x25bece0,na
0x25bedd0,funccall,dcgettext,1,4,0,0x25bedd0_1,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bedd0_1,funccall,bad_prog,0,1,0,na,0x25bedd0,na
0x25bee70,funccall,get_openfile,1,4,0,0x25bfb90,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bef10,funccall,dcgettext,1,4,0,0x25bef10_1,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bef10_1,funccall,bad_prog,0,1,0,na,0x25bef10,na
0x25bf190,funccall,__uflow,15,4,2,0x25bfb90:0x25bfb40:0x25bfa00:0x25bf7d0:0x25bf780:0x25bef10:0x25bf500:0x25bf640:0x25be9c0:0x25beab0:0x25bebf0:0x25bedd0:0x25bece0:0x25bee70:0x25bded0,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,0x25bf550:0x25bf190
0x25bf500,funccall,panic,0,4,0,na,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bf550,funccall,ungetc,16,4,1,0x25bfb90:0x25bfb40:0x25bfa00:0x25bf7d0:0x25bf780:0x25bef10:0x25bf500:0x25bf640:0x25bf190:0x25be9c0:0x25beab0:0x25bebf0:0x25bedd0:0x25bece0:0x25bee70:0x25bded0,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,0x25bf550
0x25bf640,funccall,dcgettext,1,4,0,0x25bf640_1,0x25bf550:0x25bdc00:0x25bf190:0x25bded0,na
0x25bf640_1,funccall,bad_prog,0,1,0,na,0x25bf640,na
0x25bf780,funccall,panic,0,4,0,na,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bf7d0,funccall,ungetc,1,4,0,0x25bfb90,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bfa00,funccall,__uflow,2,4,0,0x25bfb90:0x25bfb40,0x25bdc00:0x25bf550:0x25bf190:0x25bded0,na
0x25bfb40,funccall,dcgettext,1,5,0,0x25bfb40_1,0x25bdc00:0x25bfa00:0x25bf550:0x25bf190:0x25bded0,na
0x25bfb40_1,funccall,bad_prog,0,1,0,na,0x25bfb40,na
